train_acc,train_loss,val_acc,val_loss
0.041957894736842104,4.2231092,0.07519999999999999,4.0029707
0.10600000000000002,3.7614148,0.11560000000000001,3.8148136
0.17098947368421052,3.3871858,0.1732,3.3133516
0.2252842105263158,3.108455,0.24240000000000003,2.9926226
0.26610526315789473,2.8888092,0.2504,3.0779724
0.3023157894736842,2.7033327,0.2808,2.8504922
0.3305473684210526,2.5621612,0.3036,2.799018
0.3581052631578947,2.4384046,0.3608,2.4303143
0.3806315789473684,2.3408577,0.3655999999999999,2.4403598
0.3996631578947369,2.2535114,0.37440000000000007,2.360798
0.4134736842105264,2.1791375,0.3948,2.361251
0.42941052631578946,2.1135144,0.38960000000000006,2.3370452
0.4426105263157895,2.0595536,0.436,2.1275034
0.454,2.0068972,0.42560000000000003,2.1683671
0.46705263157894744,1.948774,0.4107999999999999,2.2257347
0.47591578947368424,1.9117508,0.4532,2.0538745
0.48505263157894746,1.8685296,0.46,1.9881793
0.4949473684210527,1.8191483,0.45120000000000005,2.1183429
0.5028631578947369,1.7825437,0.44799999999999995,2.0462914
0.5132210526315789,1.7448344,0.47240000000000004,1.9449866
0.5218736842105264,1.7140228,0.48160000000000003,1.9658961
0.5296,1.6699463,0.4895999999999999,1.877836
0.5381894736842106,1.643015,0.48599999999999993,1.9314247
0.5458105263157894,1.6153339,0.47,1.9908844
0.552,1.5826619,0.4932,1.8498424
0.5599578947368421,1.5481551,0.5047999999999999,1.9227012
0.564421052631579,1.5335958,0.49479999999999996,1.8862641
0.5715789473684211,1.4985048,0.5188,1.798457
0.576021052631579,1.4722947,0.5296,1.810802
0.5858105263157894,1.4490083,0.5147999999999999,1.8651509
0.590336842105263,1.4250418,0.5216000000000001,1.7993811
0.5941473684210525,1.4085873,0.532,1.7424527
0.6006526315789473,1.3868338,0.5268,1.7822038
0.6085052631578947,1.3636013,0.5396,1.7292176
0.6110736842105263,1.3490918,0.5367999999999999,1.732737
0.6163368421052632,1.3250676,0.5488,1.722991
0.6222105263157895,1.3017868,0.5412,1.7218907
0.6250947368421053,1.2891896,0.5496000000000001,1.753157
0.6281263157894738,1.277357,0.5468,1.7308861
0.6340210526315789,1.2593035,0.5564,1.689925
0.6393052631578948,1.233135,0.5408,1.776457
0.6414526315789475,1.2187387,0.5488000000000001,1.7461388
0.6462315789473684,1.2017784,0.5552,1.7604287
0.6504421052631579,1.1868283,0.5536,1.6991986
0.6545263157894736,1.1748785,0.5508,1.7347122
0.6592,1.1523095,0.5556,1.7485269
0.6644000000000001,1.1415176,0.5704,1.6648488
0.668021052631579,1.1272893,0.5644,1.6584897
0.6694526315789474,1.1119688,0.5712,1.6678795
0.6729473684210527,1.1023899,0.5536,1.7377841
0.6740421052631579,1.089004,0.5648000000000001,1.6985047
0.6805894736842105,1.0727261,0.5672,1.6801697
0.6822315789473683,1.0617988,0.5612,1.700984
0.6887789473684209,1.0443515,0.5656,1.6940187
0.6918526315789474,1.0344064,0.5616,1.7420197
0.6909473684210528,1.0314606,0.5760000000000001,1.6491559
0.6965684210526316,1.0064889,0.5731999999999999,1.6983273
0.7005473684210526,0.99765253,0.5796,1.6535048
0.7051999999999999,0.97642636,0.5816,1.7015908
0.7078105263157896,0.9663422,0.5776,1.690173
0.7093684210526315,0.9570118,0.5684,1.7157261
0.7149263157894737,0.93720883,0.5748000000000001,1.7315814
0.716842105263158,0.93297285,0.5840000000000001,1.7134169
0.721621052631579,0.9164222,0.5836,1.692007
0.7231157894736843,0.9099889,0.5740000000000001,1.7326034
0.7255157894736842,0.90227616,0.58,1.7083068
0.7288631578947369,0.8855113,0.586,1.7006687
0.7330947368421052,0.87868655,0.5856,1.687733
0.7330947368421054,0.8674797,0.5776,1.7216659
0.7358526315789473,0.8655631,0.5816,1.6918193
0.7394105263157895,0.8502509,0.5832,1.699335
0.7408210526315789,0.8406233,0.5811999999999999,1.7201874
0.744421052631579,0.83414555,0.5852,1.6928767
0.7470526315789473,0.82596356,0.5844,1.7121949
0.7503157894736842,0.811529,0.5852,1.7156163
0.7497263157894738,0.8148933,0.5808000000000001,1.7291979
0.7496631578947369,0.8053914,0.5896000000000001,1.6985834
0.7565894736842105,0.7906958,0.5951999999999998,1.7106546
0.7538526315789473,0.7908077,0.5888,1.7206348
0.7590736842105262,0.7770467,0.5923999999999999,1.6952068
0.7579578947368422,0.7774476,0.5855999999999999,1.721382
0.761936842105263,0.7697164,0.5940000000000001,1.7165805
0.7619789473684212,0.7659202,0.5884,1.7179904
0.7665473684210526,0.75424266,0.5928000000000001,1.7209065
0.7672,0.75362444,0.596,1.7369096
0.7684,0.7487138,0.5916,1.7140014
0.7671368421052631,0.7497731,0.5920000000000001,1.7321837
0.7683368421052632,0.74191165,0.5904,1.7418939
0.772021052631579,0.7344945,0.5952,1.7296062
0.7737894736842106,0.73150086,0.6008,1.723768
0.7752000000000001,0.7346363,0.5932,1.7302243
0.7754736842105263,0.7264585,0.5920000000000001,1.7316965
0.7745263157894736,0.72696173,0.5976,1.7478485
0.7750105263157895,0.7273723,0.5964,1.724722
0.7747578947368421,0.72417116,0.5980000000000001,1.7300582
0.7768842105263158,0.719994,0.5955999999999999,1.727431
0.7751789473684211,0.7217822,0.5984,1.739849
0.7780631578947369,0.7151607,0.598,1.7266707
0.7788,0.7148371,0.5928,1.7413799
0.7746736842105264,0.7229577,0.5952000000000001,1.7377244
